checkpoint,epoch,ckpt_metric,ckpt_value,mse,mae,r2,dir_acc,sharpe,total_return,max_drawdown,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,pred_std,pred_mean,pct_positive,num_negative
tft-epoch=epoch=00-unique=val_num_unique=256,0,val_num_unique,256.0,5.720579147338867,1.8481422662734985,-0.07933294773101807,0.4357976653696498,0.0,0.0,0.0,1.9455252918287937,0.38910505836575876,26.459143968871597,47.081712062256805,24.124513618677042,0.037337519228458405,-0.3631301522254944,0.0,257
tft-epoch=epoch=01-unique=val_num_unique=256,1,val_num_unique,256.0,5.317443370819092,1.752484679222107,-0.0032711029052734375,0.5642023346303502,0.8621650859705566,0.8935935497283936,-0.2482302188873291,1.9455252918287937,0.38910505836575876,14.396887159533073,56.809338521400775,26.459143968871597,0.030282480642199516,0.18973585963249207,100.0,0
tft-epoch=epoch=02-diracc=val_dir_acc=0.6055,2,val_dir_acc,0.6055,5.322690486907959,1.7555546760559082,-0.004261136054992676,0.5642023346303502,0.8621650859705566,0.8935935497283936,-0.2482302188873291,1.9455252918287937,0.38910505836575876,23.346303501945524,42.80155642023346,31.517509727626457,0.028439033776521683,0.16188977658748627,100.0,0
tft-epoch=epoch=03-diracc=val_dir_acc=0.6055,3,val_dir_acc,0.6055,5.309629440307617,1.7484477758407593,-0.0017968416213989258,0.5642023346303502,0.8621650859705566,0.8935935497283936,-0.2482302188873291,1.9455252918287937,0.38910505836575876,26.459143968871597,42.80155642023346,28.404669260700388,0.028840135782957077,0.23861154913902283,100.0,0
tft-epoch=epoch=04-composite=val_composite=0.4860,4,,,5.303899765014648,1.7443488836288452,-0.0007158517837524414,0.5642023346303502,0.8621650859705566,0.8935935497283936,-0.2482302188873291,1.9455252918287937,0.38910505836575876,35.797665369649806,38.13229571984436,23.73540856031128,0.026980074122548103,0.32311660051345825,100.0,0
tft-epoch=epoch=05-composite=val_composite=0.4860,5,,,5.317473888397217,1.74715256690979,-0.0032769441604614258,0.5642023346303502,0.8621650859705566,0.8935935497283936,-0.2482302188873291,1.9455252918287937,0.38910505836575876,51.75097276264592,15.56420233463035,30.35019455252918,0.05227605625987053,0.38273170590400696,100.0,0
tft-epoch=epoch=06-sharpe=val_sharpe=76.9257,6,val_sharpe,76.9257,5.3150763511657715,1.7504024505615234,-0.002824544906616211,0.5642023346303502,0.8621650859705566,0.8935935497283936,-0.2482302188873291,2.3346303501945527,0.0,77.431906614786,10.505836575875486,9.72762645914397,0.05707726255059242,0.31982529163360596,100.0,0
tft-epoch=epoch=07-sharpe=val_sharpe=77.3285,7,val_sharpe,77.3285,5.32004451751709,1.7508655786514282,-0.0037620067596435547,0.5642023346303502,0.8621650859705566,0.8935935497283936,-0.2482302188873291,2.3346303501945527,0.0,87.54863813229572,2.3346303501945527,7.782101167315175,0.05632776394486427,0.32718220353126526,100.0,0
tft-epoch=epoch=16-valloss=val_loss=1.0816,16,val_loss,1.0816,5.3326416015625,1.7546828985214233,-0.0061386823654174805,0.5642023346303502,0.8621650859705566,0.8935935497283936,-0.2482302188873291,2.3346303501945527,0.0,82.87937743190662,3.8910505836575875,10.894941634241246,0.13077662885189056,0.3538368344306946,100.0,0
tft-epoch=epoch=18-valloss=val_loss=1.0820,18,val_loss,1.082,5.326259136199951,1.752377986907959,-0.004934549331665039,0.5642023346303502,0.8621650859705566,0.8935935497283936,-0.2482302188873291,2.3346303501945527,0.0,84.8249027237354,1.9455252918287937,10.894941634241246,0.13677053153514862,0.3434731364250183,100.0,0
tft-epoch=epoch=26-predstd=val_pred_std=0.1352,26,val_pred_std,0.1352,5.327651023864746,1.7577241659164429,-0.005197048187255859,0.5525291828793775,0.7163320639201215,0.6484148502349854,-0.2338857203722,17.898832684824903,8.560311284046692,49.80544747081712,17.898832684824903,5.836575875486381,0.1714906096458435,0.2390151470899582,87.93774319066148,31
tft-epoch=epoch=27-predstd=val_pred_std=0.1356,27,val_pred_std,0.1356,5.32495641708374,1.7558239698410034,-0.004688739776611328,0.5447470817120622,0.6441946198192058,0.5527733564376831,-0.2338857203722,15.953307392996107,10.505836575875486,50.97276264591439,7.782101167315175,14.785992217898833,0.17271248996257782,0.23511525988578796,87.15953307392996,32
